City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
251,Cockburn Town,TC,2020-10-13 18:23:12,21.46,-71.14,86.0,66,40,8.05
252,Prince Rupert,CA,2020-10-13 18:23:57,54.32,-130.32,46.4,75,1,3.36
253,Esperance,AU,2020-10-13 18:23:57,-33.87,121.9,60.8,77,93,14.99
254,Belmonte,BR,2020-10-13 18:23:57,-15.86,-38.88,78.8,78,40,10.29
255,Sjovegan,NO,2020-10-13 18:23:58,68.87,17.85,35.6,93,75,12.75
256,Le Port,RE,2020-10-13 18:23:58,-20.94,55.29,71.6,68,12,3.36
257,Shepsi,RU,2020-10-13 18:23:58,44.04,39.15,73.65,56,84,3.69
258,Faanui,PF,2020-10-13 18:19:25,-16.48,-151.75,78.08,80,6,13.58
259,Iqaluit,CA,2020-10-13 18:23:59,63.75,-68.51,24.8,79,40,4.7
260,Warmbad,NA,2020-10-13 18:23:59,-28.45,18.73,74.57,16,0,8.75
261,Vila Franca Do Campo,PT,2020-10-13 18:23:59,37.72,-25.43,69.8,73,75,12.75
262,Broome,US,2020-10-13 18:24:00,42.25,-75.83,57.99,87,90,5.82
263,Kumluca,TR,2020-10-13 18:24:00,36.37,30.29,72.57,67,0,3.11
264,Tukrah,LY,2020-10-13 18:24:00,32.53,20.58,71.19,62,11,11.95
265,Tamandare,BR,2020-10-13 18:24:00,-8.76,-35.1,81.01,62,32,10.69
266,Wanning,CN,2020-10-13 18:24:01,18.8,110.4,79.27,88,100,19.98
267,Huilong,CN,2020-10-13 18:24:01,31.81,121.66,66.0,84,0,9.28
268,Nadym,RU,2020-10-13 18:24:02,65.53,72.52,42.76,91,100,17.96
269,Bathsheba,BB,2020-10-13 18:24:02,13.22,-59.52,86.0,62,40,4.7
270,Ostrovnoy,RU,2020-10-13 18:19:27,68.05,39.51,37.26,78,92,7.74
271,Hobyo,SO,2020-10-13 18:24:02,5.35,48.53,80.26,82,13,15.75
272,Mayumba,GA,2020-10-13 18:24:03,-3.43,10.66,75.78,85,51,9.44
273,Nanortalik,GL,2020-10-13 18:24:03,60.14,-45.24,38.61,90,100,13.22
274,Salinas,US,2020-10-13 18:24:03,36.68,-121.66,75.2,36,1,4.7
275,Itarema,BR,2020-10-13 18:24:04,-2.92,-39.92,84.87,59,13,20.04
276,Morant Bay,JM,2020-10-13 18:24:04,17.88,-76.41,87.8,74,40,12.75
277,Poso,ID,2020-10-13 18:24:04,-1.4,120.75,81.0,74,68,3.91
278,Norman Wells,CA,2020-10-13 18:24:05,65.28,-126.83,21.2,73,90,4.7
